"Mass","formula","El_comp","Class","HC","OC","AImod","NOSC","Gibbs","DBE_AI","DBE_C","KM","KMD","C","H","O","N","S","P"
360.1725967,"","","None",NA,NA,Inf,NA,NA,NA,NA,359.770424760892,-0.77042476089224,0,0,0,0,0,0
360.1735513,"","","None",NA,NA,Inf,NA,NA,NA,NA,359.771378294977,-0.771378294977353,0,0,0,0,0,0
360.2397651,"C19H39O1N1S2","CHONS","Lipid",2.05,0.05,-0.1613,-1.5789,105.29865,-3,-0.157894736842105,359.837518160057,-0.837518160056788,19,39,1,1,2,0
360.510448,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.107898813112,-0.107898813112456,0,0,0,0,0,0
360.5279209,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.125352202716,-0.125352202716272,0,0,0,0,0,0
360.7533801,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.350559652959,-0.350559652959362,0,0,0,0,0,0
360.8585734,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.455635493181,-0.455635493180807,0,0,0,0,0,0
360.8949343,"C15H6O1S5","CHOS","ConHC",0.4,0.07,0.7895,0.4,48.9,7,0.466666666666667,360.491955792275,-0.491955792275007,15,6,1,0,5,0
360.9336364,"C12H10O5S4","CHOS","Lignin",0.83,0.42,0.2727,0.6667,41.29905,-1,-0.0833333333333333,360.530614677164,-0.530614677164465,12,10,5,0,4,0
360.9699895,"C8H13O9N1S2P1","CHONSP","Other",1.62,1.12,10,0.875,35.3625,-9.5,-1.1875,360.566927184968,-0.566927184968222,8,13,9,1,2,1
360.9704553,"C12H12O7S1P2","CHOSP","Lignin",1,0.58,0.2727,-0.5,74.55,-2,-0.166666666666667,360.567392464852,-0.567392464851821,12,12,7,0,1,2
360.9709273,"C12H12O7S1P2","CHOSP","Lignin",1,0.58,0.2727,-0.5,74.55,-2,-0.166666666666667,360.567863937812,-0.567863937812376,12,12,7,0,1,2
360.9713918,"C17H5O3N3S1P1","CHONSP","ConHC",0.29,0.18,1.0476,0.4118,48.5637,9.5,0.558823529411765,360.568327919148,-0.568327919147521,17,5,3,3,1,1
360.9746617,"C18H6O3N2S2","CHONS","ConHC",0.33,0.17,0.92,0.5556,44.4654,10,0.555555555555556,360.571594167948,-0.571594167947978,18,6,3,2,2,0
360.9753543,"C14H9O3N3S2P1","CHONSP","ConHC",0.64,0.21,0.7692,0.3571,50.12265,3.5,0.25,360.572285994585,-0.572285994584604,14,9,3,3,2,1
360.9760328,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.572963736965,-0.572963736965448,0,0,0,0,0,0
361.0203201,"C16H10O10","CHO","ConHC",0.62,0.62,0.6364,0.625,42.4875,2,0.125,360.617201585371,-0.617201585370594,16,10,10,0,0,0
361.0208393,"C17H14O5S2","CHOS","Lignin",0.82,0.29,0.52,0,60.3,4,0.235294117647059,360.617720205627,-0.617720205627222,17,14,5,0,2,0
361.0217811,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.618660954005,-0.618660954004952,0,0,0,0,0,0
361.0403391,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.637198231976,-0.637198231976356,0,0,0,0,0,0
361.0414082,"C13H14O12","CHO","Tannin",1.08,0.92,0.1429,0.7692,38.3778,-5,-0.384615384615385,360.63826613821,-0.638266138209758,13,14,12,0,0,0
361.0500148,"C16H14O6N2S1","CHONS","Lignin",0.88,0.38,0.5,0.375,49.6125,2,0.125,360.646863128003,-0.646863128003304,16,14,6,2,1,0
361.0570419,"C13H17O9N1P1","CHONP","Tannin",1.31,0.69,0,-0.0769,62.49165,-4.5,-0.346153846153846,360.653882381481,-0.653882381480685,13,17,9,1,0,1
361.0581,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.654939299997,-0.654939299996784,0,0,0,0,0,0
361.0757736,"C14H21O6N1S1P1","CHONSP","Protein",1.5,0.43,-0.0625,-0.6429,78.62265,-3.5,-0.25,360.672593165497,-0.672593165497119,14,21,6,1,1,1
361.0762344,"C19H22O1S3","CHOS","UnsatHC",1.16,0.05,0.3548,-0.7368,81.2988,5,0.263157894736842,360.673053450964,-0.673053450963721,19,22,1,0,3,0
361.0767639,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.673582359719,-0.673582359719319,0,0,0,0,0,0
361.0781064,"C10H21O11N1P1","CHONP","Other",2.1,1.1,-2.4,-0.1,63.15,-11.5,-1.15,360.674923360672,-0.674923360671812,10,21,11,1,0,1
361.0906287,"C22H18O3S1","CHOS","Lignin",0.82,0.14,0.5897,-0.4545,73.25325,10,0.454545454545455,360.68743167816,-0.687431678159783,22,18,3,0,1,0
361.0911229,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.687925326332,-0.687925326331651,0,0,0,0,0,0
361.0921909,"C10H22O10N2S1","CHONS","Other",2.2,1,-3.5,0.6,43.2,-12,-1.2,360.688992133793,-0.688992133793249,10,22,10,2,1,0
361.0931495,"C18H18O8","CHO","Lignin",1,0.44,0.4286,-0.1111,63.46635,2,0.111111111111111,360.689949663412,-0.689949663411937,18,18,8,0,0,0
361.0936299,"C19H22O3S2","CHOS","Lignin",1.16,0.16,0.3548,-0.6316,78.3006,4,0.210526315789474,360.690429526993,-0.690429526993,19,22,3,0,2,0
361.0945959,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.691394448349,-0.691394448348774,0,0,0,0,0,0
361.1120425,"C15H25O5N1S1P1","CHONSP","Protein",1.67,0.33,-0.1053,-1,88.8,-3.5,-0.233333333333333,360.708821567319,-0.708821567319319,15,25,5,1,1,1
361.1125202,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.709298733915,-0.709298733915318,0,0,0,0,0,0
361.1130658,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.709843724693,-0.709843724693485,0,0,0,0,0,0
361.113634,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.710411290236,-0.710411290236266,0,0,0,0,0,0
361.11446,"C11H25O10N1P1","CHONP","Other",2.27,0.91,-1.625,-0.6364,78.4374,-11.5,-1.04545454545455,360.711236367917,-0.711236367917309,11,25,10,1,0,1
361.1249999,"C14H22O9N2","CHON","AminoSugar",1.57,0.64,-0.2,0.1429,56.22735,-6,-0.428571428571429,360.721764498971,-0.721764498970742,14,22,9,2,0,0
361.1253728,"C14H22O9N2","CHON","AminoSugar",1.57,0.64,-0.2,0.1429,56.22735,-6,-0.428571428571429,360.722136982587,-0.722136982587301,14,22,9,2,0,0
361.1262997,"C15H26O4N2S2","CHONS","Lipid",1.73,0.27,-0.2222,-0.5333,75.49905,-4,-0.266666666666667,360.723062847602,-0.723062847602478,15,26,4,2,2,0
361.1273016,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.724063628872,-0.724063628871988,0,0,0,0,0,0
361.1278427,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.724604124675,-0.724604124674897,0,0,0,0,0,0
361.1282199,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.72498090349,-0.724980903490007,0,0,0,0,0,0
361.129778,"C15H25O7N1P1","CHONP","Protein",1.67,0.47,-0.1053,-0.8667,85.00095,-4.5,-0.3,360.726537263702,-0.72653726370163,15,25,7,1,0,1
361.1428881,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.739632724847,-0.739632724846842,0,0,0,0,0,0
361.1433296,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.740073731864,-0.740073731864015,0,0,0,0,0,0
361.1439517,"C15H26O6N2S1","CHONS","Protein",1.73,0.4,-0.2222,-0.4,71.7,-5,-0.333333333333333,360.740695137222,-0.740695137221564,15,26,6,2,1,0
361.1484329,"C16H29O4N1S1P1","CHONSP","Lipid",1.81,0.25,-0.1364,-1.3125,97.70625,-3.5,-0.21875,360.745171333474,-0.74517133347365,16,29,4,1,1,1
361.1489004,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.745638311459,-0.745638311458947,0,0,0,0,0,0
361.1495067,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.746243934459,-0.74624393445896,0,0,0,0,0,0
361.1500148,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.74675146711,-0.746751467109959,0,0,0,0,0,0
361.1509411,"C17H30O4S2","CHOS","Lipid",1.76,0.24,-0.0769,-1.0588,90.4758,-3,-0.176470588235294,360.747676732795,-0.747676732795128,17,30,4,0,2,0
361.1520387,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.748773107205,-0.748773107205125,0,0,0,0,0,0
361.1607291,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.757453803427,-0.75745380342687,0,0,0,0,0,0
361.166135,"C16H29O6N1P1","CHONP","Protein",1.81,0.38,-0.1364,-1.1875,94.14375,-4.5,-0.28125,360.762853667151,-0.762853667150637,16,29,6,1,0,1
361.1792717,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.775975698594,-0.775975698594095,0,0,0,0,0,0
361.1803355,"C16H30O5N2S1","CHONS","Protein",1.88,0.31,-0.2381,-0.75,81.675,-5,-0.3125,360.777038310745,-0.777038310745468,16,30,5,2,1,0
361.1827823,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.779482378627,-0.77948237862671,0,0,0,0,0,0
361.1847963,"C17H33O3N1S1P1","CHONSP","Lipid",1.94,0.18,-0.16,-1.5882,105.5637,-3.5,-0.205882352941176,360.781494129776,-0.781494129776377,17,33,3,1,1,1
361.185293,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.781990275157,-0.781990275156659,0,0,0,0,0,0
361.1859055,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.782602091234,-0.782602091233684,0,0,0,0,0,0
361.1863565,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.783052587643,-0.783052587643056,0,0,0,0,0,0
361.1871945,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.783889651925,-0.783889651924767,0,0,0,0,0,0
361.2054165,"C18H34O5S1","CHOS","Lipid",1.89,0.28,-0.1034,-1.2222,95.1327,-4,-0.222222222222222,360.802091305077,-0.802091305076829,18,34,5,0,1,0
361.2060159,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.802690035781,-0.802690035781438,0,0,0,0,0,0
361.2070144,"","","None",NA,NA,Inf,NA,NA,NA,NA,360.803687420847,-0.803687420847382,0,0,0,0,0,0
