"Mass","formula","El_comp","Class","HC","OC","AImod","NOSC","Gibbs","DBE_AI","DBE_C","KM","KMD","C","H","O","N","S","P"
355.1019792,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.705469157692,-0.705469157691596,0,0,0,0,0,0
355.1025769,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.706066190294,-0.706066190294393,0,0,0,0,0,0
355.1038553,"C12H23O9N1P1","CHONP","Carb",1.92,0.75,-0.7273,-0.5833,76.92405,-8.5,-0.708333333333333,354.707343162822,-0.707343162821587,12,23,9,1,0,1
355.1042717,"C17H24O4S2","CHOS","Lignin",1.41,0.24,0.1538,-0.7059,80.41815,0,0,354.707759097866,-0.707759097865619,17,24,4,0,2,0
355.1050068,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.708493377046,-0.708493377046352,0,0,0,0,0,0
355.1119672,"C19H20O3N2S1","CHONS","Lignin",1.05,0.16,0.4483,-0.3158,69.3003,5,0.263157894736842,354.715446005002,-0.715446005001525,19,20,3,2,1,0
355.1124473,"C19H20O3N2S1","CHONS","Lignin",1.05,0.16,0.4483,-0.3158,69.3003,5,0.263157894736842,354.715925568918,-0.715925568917555,19,20,3,2,1,0
355.1131748,"C27H16O1","CHO","ConHC",0.59,0.04,0.7358,-0.5185,75.07725,19,0.703703703703704,354.716652256585,-0.716652256584609,27,16,1,0,0,0
355.1136958,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.717172674831,-0.717172674831374,0,0,0,0,0,0
355.1225202,"C13H27O6N1S1P1","CHONSP","Protein",2.08,0.46,-0.6429,-1.1538,93.1833,-7.5,-0.576923076923077,354.725987221427,-0.725987221427431,13,27,6,1,1,1
355.1230111,"C18H28O1S3","CHOS","Lipid",1.56,0.06,0.1034,-1.1111,91.96635,1,0.0555555555555556,354.726477573284,-0.726477573284114,18,28,1,0,3,0
355.1241117,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.727576944344,-0.727576944344378,0,0,0,0,0,0
355.1332547,"C16H24O5N2S1","CHONS","Protein",1.5,0.31,0.0476,-0.375,70.9875,-2,-0.125,354.736709735189,-0.736709735188867,16,24,5,2,1,0
355.1378086,"C17H27O3N1S1P1","CHONSP","Lipid",1.59,0.18,0.08,-1.2353,95.50605,-0.5,-0.0294117647058824,354.741258550263,-0.741258550263467,17,27,3,1,1,1
355.1382726,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.741722032157,-0.741722032156872,0,0,0,0,0,0
355.1388887,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.742337444214,-0.742337444214115,0,0,0,0,0,0
355.1393817,"","","None",NA,NA,Inf,NA,NA,NA,NA,354.742829893726,-0.742829893725911,0,0,0,0,0,0
