"Temperature","Clay","Moisture","core","datetime","date","time","incub_days","CO2_1_ppm","CO2_2_ppm","CO2C_ug_g_hr"
4,"non-amended","100% WFPS",16,2016-09-09 21:25:00,2016-09-09,"t1",0,742,NA,0.0174548903026442
20,"illite-amended","50% WFPS",17,2016-09-09 21:34:00,2016-09-09,"t1",0,3285,NA,0.0714800502642034
20,"illite-amended","50% WFPS",18,2016-09-09 21:38:00,2016-09-09,"t1",0,3140,NA,0.0676757507962434
20,"illite-amended","50% WFPS",19,2016-09-09 21:40:00,2016-09-09,"t1",0,3510,NA,0.0752925973928391
20,"illite-amended","50% WFPS",20,2016-09-09 21:43:00,2016-09-09,"t1",0,3883,NA,0.0827072006548124
20,"illite-amended","100% WFPS",21,2016-09-09 21:45:00,2016-09-09,"t1",0,832,NA,0.017638639638447
20,"illite-amended","100% WFPS",22,2016-09-09 21:52:00,2016-09-09,"t1",0,650,NA,0.013558437078404
20,"illite-amended","100% WFPS",23,2016-09-09 21:55:00,2016-09-09,"t1",0,725,NA,0.0150192908099812
20,"illite-amended","100% WFPS",24,2016-09-09 21:56:00,2016-09-09,"t1",0,811,NA,0.0167626186252138
20,"non-amended","50% WFPS",25,2016-09-09 21:58:00,2016-09-09,"t1",0,5451,NA,0.112156157766459
20,"non-amended","50% WFPS",26,2016-09-09 22:01:00,2016-09-09,"t1",0,3440,NA,0.0703009190718078
20,"non-amended","50% WFPS",27,2016-09-09 22:04:00,2016-09-09,"t1",0,3818,NA,0.0775021822506477
20,"non-amended","50% WFPS",28,2016-09-09 22:05:00,2016-09-09,"t1",0,5705,NA,0.115548194837047
20,"non-amended","100% WFPS",29,2016-09-09 22:07:00,2016-09-09,"t1",0,1460,NA,0.0294391910717756
20,"non-amended","100% WFPS",30,2016-09-09 22:10:00,2016-09-09,"t1",0,4697,NA,0.0940822918879593
20,"non-amended","100% WFPS",30,2016-09-10 09:21:00,2016-09-10,"t2",1,6821,NA,0.0971614858124144
20,"non-amended","100% WFPS",29,2016-09-10 09:23:00,2016-09-10,"t2",1,5814,NA,0.0825581019155428
20,"non-amended","50% WFPS",25,2016-09-10 09:26:00,2016-09-10,"t2",1,7801,NA,0.110255631265645
20,"non-amended","50% WFPS",26,2016-09-10 09:27:00,2016-09-10,"t2",1,7200,NA,0.101603122214526
