"Temperature","Clay","Moisture","core","datetime","date","time","incub_days","CO2_1_ppm","CO2_2_ppm","CO2C_ug_g_hr"
20,"non-amended","50% WFPS",25,2016-09-15 10:32:00,2016-09-15,"t7",6,11771,NA,0.0826677992851912
20,"non-amended","50% WFPS",26,2016-09-15 10:33:00,2016-09-15,"t7",6,12239,NA,0.0859545659206062
20,"non-amended","50% WFPS",27,2016-09-15 10:34:00,2016-09-15,"t7",6,12208,NA,0.0857368527460381
20,"non-amended","50% WFPS",28,2016-09-15 10:35:00,2016-09-15,"t7",6,11480,NA,0.0806865555408852
20,"non-amended","100% WFPS",29,2016-09-15 10:37:00,2016-09-15,"t7",6,12218,NA,0.0858070828023503
20,"non-amended","100% WFPS",30,2016-09-15 10:39:00,2016-09-15,"t7",6,13205,NA,0.0927387893603729
20,"illite-amended","50% WFPS",17,2016-09-16 09:54:00,2016-09-16,"t8",7,13777,NA,0.088470407337024
20,"illite-amended","50% WFPS",18,2016-09-16 09:57:00,2016-09-16,"t8",7,12057,NA,0.0773158173380025
20,"illite-amended","50% WFPS",19,2016-09-16 09:58:00,2016-09-16,"t8",7,12286,NA,0.0788400029443946
20,"illite-amended","50% WFPS",20,2016-09-16 09:59:00,2016-09-16,"t8",7,14381,NA,0.0922185260958625
20,"illite-amended","100% WFPS",21,2016-09-16 10:02:00,2016-09-16,"t8",7,12847,NA,0.0823235331362683
20,"illite-amended","100% WFPS",22,2016-09-16 10:03:00,2016-09-16,"t8",7,14100,NA,0.0903527529556615
20,"illite-amended","100% WFPS",23,2016-09-16 10:05:00,2016-09-16,"t8",7,9999,NA,0.0334913839173855
20,"illite-amended","100% WFPS",24,2016-09-16 10:06:00,2016-09-16,"t8",7,9296,NA,0.0595687369841013
20,"non-amended","50% WFPS",25,2016-09-16 10:09:00,2016-09-16,"t8",7,11300,NA,0.072359261124689
20,"non-amended","50% WFPS",26,2016-09-16 10:13:00,2016-09-16,"t8",7,10810,NA,0.0690753159215958
20,"non-amended","50% WFPS",27,2016-09-16 10:14:00,2016-09-16,"t8",7,11180,NA,0.0714395959300131
20,"non-amended","50% WFPS",28,2016-09-16 10:15:00,2016-09-16,"t8",7,11310,NA,0.0722702889059435
20,"non-amended","100% WFPS",29,2016-09-16 10:17:00,2016-09-16,"t8",7,10751,NA,0.0686983091094428
20,"non-amended","100% WFPS",30,2016-09-16 10:21:00,2016-09-16,"t8",7,12539,NA,0.0800108411758702
4,"illite-amended","50% WFPS",1,2016-09-16 10:34:00,2016-09-16,"t8",7,6222,NA,0.0401328920718173
4,"illite-amended","50% WFPS",2,2016-09-16 10:37:00,2016-09-16,"t8",7,6019,NA,0.0387713976107554
4,"illite-amended","50% WFPS",3,2016-09-16 10:38:00,2016-09-16,"t8",7,6760,NA,0.0435737943896904
4,"illite-amended","50% WFPS",4,2016-09-16 10:39:00,2016-09-16,"t8",7,6462,NA,0.0416529377731035
4,"illite-amended","100% WFPS",5,2016-09-16 10:41:00,2016-09-16,"t8",7,1428,NA,0.00920464177344348
4,"illite-amended","100% WFPS",6,2016-09-16 10:43:00,2016-09-16,"t8",7,2715,NA,0.0174886766096031
4,"illite-amended","100% WFPS",7,2016-09-16 10:44:00,2016-09-16,"t8",7,1373,NA,0.00885012125695931
4,"illite-amended","100% WFPS",8,2016-09-16 10:46:00,2016-09-16,"t8",7,1431,NA,0.00921778866605599
4,"non-amended","50% WFPS",9,2016-09-16 10:52:00,2016-09-16,"t8",7,4075,NA,0.0261788399033476
4,"non-amended","50% WFPS",10,2016-09-16 10:54:00,2016-09-16,"t8",7,4488,NA,0.0288127716401779
4,"non-amended","50% WFPS",11,2016-09-16 10:57:00,2016-09-16,"t8",7,4532,NA,0.0292517810634175
4,"non-amended","50% WFPS",12,2016-09-16 10:59:00,2016-09-16,"t8",7,4471,NA,0.0286652841474447
4,"non-amended","100% WFPS",13,2016-09-16 11:01:00,2016-09-16,"t8",7,3371,NA,0.0216561642488797
4,"non-amended","100% WFPS",14,2016-09-16 11:03:00,2016-09-16,"t8",7,3235,NA,0.0207685642281585
4,"non-amended","100% WFPS",15,2016-09-16 11:04:00,2016-09-16,"t8",7,4302,NA,0.0276186594465341
4,"non-amended","100% WFPS",16,2016-09-16 11:05:00,2016-09-16,"t8",7,4683,NA,0.030084787059479
