"formula","HC","OC"
"C20H28O2S3",1.4,0.1
"C15H24O12",1.6,0.8
"C19H27O4N1S1P1",1.42,0.21
"C19H24O9",1.26,0.47
"C20H28O4S2",1.4,0.2
"C20H28O6S1",1.4,0.3
"C21H32O1S3",1.52,0.05
"C16H28O11",1.75,0.69
"C24H28O3S1",1.17,0.12
"C20H28O8",1.4,0.4
"C21H32O3S2",1.52,0.14
"C21H32O5S1",1.52,0.24
"C17H32O10",1.88,0.59
"C21H32O7",1.52,0.33
"C22H36O2S2",1.64,0.09
"C22H36O4S1",1.64,0.18
"C23H40O1S2",1.74,0.04
"C8H5O8N3S2P2",0.62,1
"C13H3O8N1S3",0.23,0.62
"C11H11O3N1S6",1,0.27
"C14H7O7N1S3",0.5,0.5
"C12H3O11N3S1",0.25,0.92
"C14H6O12P1",0.43,0.86
"C22H7O5N1S1",0.32,0.23
"C18H10O5N2S1P1",0.56,0.28
"C26H6O3P1",0.23,0.12
"C30H7O1N1",0.23,0.03
"C13H18O12P1",1.38,0.92
"C13H18O12P1",1.38,0.92
"C22H22O3S1P1",1,0.14
"C15H26O8S1P1",1.73,0.53
"C17H23O4N3S2",1.35,0.24
"C22H22O5P1",1,0.23
"C19H26O5S1P1",1.37,0.26
"C19H26O7P1",1.37,0.37
"C23H26O4P1",1.13,0.17
"C18H27O5N3S1",1.5,0.28
"C27H27O2N1",1,0.07
"C27H27O2N1",1,0.07
"C16H35O6N3S1",2.19,0.38
"C13H6O3N2S5",0.46,0.23
"C9H6O8N2S4",0.67,0.89
"C17H6O4N2S3",0.35,0.24
"C14H6O12S1",0.43,0.86
"C16H5O6N3S1P1",0.31,0.38
"C14H10O6N2S3",0.71,0.43
"C20H14O5S2",0.7,0.25
"C16H14O12",0.88,0.75
"C17H18O7S2",1.06,0.41
"C18H22O2S4",1.22,0.11
"C21H18O4S2",0.86,0.19
"C17H21O4N1S2P1",1.24,0.24
"C16H18O8N2S1",1.12,0.5
"C12H18O13N2",1.5,1.08
"C22H22O1S3",1,0.05
"C17H18O11",1.06,0.65
"C18H22O6S2",1.22,0.33
"C14H25O6N1S2P1",1.79,0.43
"C28H14O3",0.5,0.11
"C24H17O3N1P1",0.71,0.12
"C19H26O3S3",1.37,0.16
"C24H18O2N2S1",0.75,0.08
"C20H18O7N2",0.9,0.35
"C13H22O12N2",1.69,0.92
"C18H22O10",1.22,0.56
"C19H26O5S2",1.37,0.26
"C15H28O8P2",1.87,0.53
"C24H18O4N2",0.75,0.17
"C21H22O4N2S1",1.05,0.19
"C19H26O7S1",1.37,0.37
"C20H30O2S3",1.5,0.1
"C28H18O1N2",0.64,0.04
"C23H26O4S1",1.13,0.17
"C19H26O9",1.37,0.47
"C20H30O4S2",1.5,0.2
"C16H33O4N1S2P1",2.06,0.25
"C30H22O1",0.73,0.03
"C20H30O6S1",1.5,0.3
"C21H34O1S3",1.62,0.05
"C16H30O11",1.88,0.69
"C24H30O3S1",1.25,0.12
"C20H30O8",1.5,0.4
"C21H34O3S2",1.62,0.14
"C21H34O5S1",1.62,0.24
"C21H34O7",1.62,0.33
"C22H38O2S2",1.73,0.09
"C27H30O1N2",1.11,0.04
"C23H42O1S2",1.83,0.04
"C13H5O10N1S2",0.38,0.77
"C15H12O9S1P1",0.8,0.6
"C23H17O2N3S1",0.74,0.09
"C14H24O11P1",1.71,0.79
"C21H21O5N1S1",1,0.24
"C25H20O3P1",0.8,0.12
"C17H21O10N1",1.24,0.59
"C13H24O10N2P1",1.85,0.77
"C14H28O5N2S2P1",2,0.36
"C19H29O4N1S2",1.53,0.21
"C20H33O3N1S2",1.65,0.15
"C17H36O6S1P1",2.12,0.35
"C16H36O7N2P1",2.25,0.44
"C21H37O2N1S2",1.76,0.1
"C20H37O1N3S2",1.85,0.05
"C13H4O5S5",0.31,0.38
"C16H4O1N2S5",0.25,0.06
"C12H4O6N2S4",0.33,0.5
"C13H8O1N2S6",0.62,0.08
"C12H3O9N1S2P1",0.25,0.75
"C15H12O13",0.8,0.87
"C16H16O8S2",1,0.5
"C19H12O10",0.63,0.53
"C20H16O5S2",0.8,0.25
"C21H20O2S3",0.95,0.1
"C16H16O12",1,0.75
"C17H20O7S2",1.18,0.41
"C13H23O7N1S2P1",1.77,0.54
"C18H24O2S4",1.33,0.11
"C21H20O4S2",0.95,0.19
"C22H24O1S3",1.09,0.05
"C17H20O11",1.18,0.65
"C18H24O6S2",1.33,0.33
"C23H16O5N2",0.7,0.22
"C28H16O3",0.57,0.11
"C21H20O8",0.95,0.38
"C17H23O8N1P1",1.35,0.47
"C15H28O8S2",1.87,0.53
"C22H24O5S1",1.09,0.23
"C18H24O10",1.33,0.56
"C19H28O5S2",1.47,0.26
"C29H20O2",0.69,0.07
"C29H20O2",0.69,0.07
"C20H32O2S3",1.6,0.1
"C26H24O4",0.92,0.15
"C23H28O4S1",1.22,0.17
"C19H28O9",1.47,0.47
"C20H32O4S2",1.6,0.2
"C16H35O4N1S2P1",2.19,0.25
"C21H36O1S3",1.71,0.05
"C19H32O5N2S1",1.68,0.26
"C24H32O3S1",1.33,0.12
"C20H32O8",1.6,0.4
"C21H36O3S2",1.71,0.14
"C21H36O7",1.71,0.33
"C22H40O2S2",1.82,0.09
"C23H44O1S2",1.91,0.04
"C9H11O3N3S6",1.22,0.33
"C16H5O8N1P2",0.31,0.5
"C15H19O8N3S1",1.27,0.53
"C20H19O8N1",0.95,0.4
"C16H22O8N2P1",1.38,0.5
"C21H23O3N1S2",1.1,0.14
"C14H27O8N1S2",1.93,0.57
"C24H19O5N1",0.79,0.21
"C25H22O3P1",0.88,0.12
"C18H27O5N1S2",1.5,0.28
"C27H19O1N3",0.7,0.04
"C19H31O4N1S2",1.63,0.21
"C16H34O7S1P1",2.12,0.44
"C23H30O4P1",1.3,0.17
"C20H35O3N1S2",1.75,0.15
"C21H39O2N1S2",1.86,0.1
"C11H4O7N2S2P2",0.36,0.64
"C12H5O9N1S2P1",0.42,0.75
"C16H4O7S1P2",0.25,0.44
"C12H4O12P2",0.33,1
"C12H4O12P2",0.33,1
"C13H8O7S2P2",0.62,0.54
"C20H6O4N2S2",0.3,0.2
"C18H10O11",0.56,0.61
"C19H14O6S2",0.74,0.32
"C15H14O13",0.93,0.87
"C16H18O8S2",1.12,0.5
"C16H20O6S1P2",1.25,0.38
"C19H14O10",0.74,0.53
"C20H18O5S2",0.9,0.25
"C21H22O2S3",1.05,0.1
"C29H10O1N2",0.34,0.03
"C16H18O12",1.12,0.75
"C17H22O7S2",1.29,0.41
"C13H25O7N1S2P1",1.92,0.54
"C15H21O6N3S1P1",1.4,0.4
"C21H22O4S2",1.05,0.19
"C26H14O3N2",0.54,0.12
"C25H22O1S2",0.88,0.04
"C12H22O13N2",1.83,1.08
"C13H26O8N2S2",2,0.62
"C17H22O11",1.29,0.65
"C18H26O6S2",1.44,0.33
"C14H29O6N1S2P1",2.07,0.43
"C13H26O10N2S1",2,0.77
"C21H22O8",1.05,0.38
"C22H26O3S2",1.18,0.14
"C17H26O7N2S1",1.53,0.41
"C22H26O5S1",1.18,0.23
"C18H26O10",1.44,0.56
"C18H26O10",1.44,0.56
"C19H30O5S2",1.58,0.26
"C23H30O2S2",1.3,0.09
"C20H34O2S3",1.7,0.1
"C26H26O4",1,0.15
"C23H30O4S1",1.3,0.17
"C19H30O9",1.58,0.47
"C20H34O4S2",1.7,0.2
"C19H34O5N2S1",1.79,0.26
"C24H34O3S1",1.42,0.12
"C20H34O8",1.7,0.4
"C21H38O3S2",1.81,0.14
"C22H42O2S2",1.91,0.09
"C12H8O8N2S2P1",0.67,0.67
"C11H17O3N1S6",1.55,0.27
"C24H5O6N1",0.21,0.25
"C20H8O6N2P1",0.4,0.3
"C24H20O4P1",0.83,0.17
"C14H29O8N1S2",2.07,0.57
"C15H32O6S2P1",2.13,0.4
"C25H24O3P1",0.96,0.12
"C22H28O5P1",1.27,0.23
"C27H21O1N3",0.78,0.04
"C22H29O4N1S1",1.32,0.18
"C18H29O9N1",1.61,0.5
"C19H33O4N1S2",1.74,0.21
"C20H37O3N1S2",1.85,0.15
"C11H3O10N1S2P1",0.27,0.91
"C16H4O5S4",0.25,0.31
"C20H4O2S4",0.2,0.1
"C12H6O10S1P2",0.5,0.83
"C20H8O4N2S2",0.4,0.2
"C10H16O11N2S2",1.6,1.1
"C18H14O7P2",0.78,0.39
"C15H16O9S2",1.07,0.6
"C15H18O7S1P2",1.2,0.47
"C16H11O8N3P1",0.69,0.5
"C29H8O1S1",0.28,0.03
"C14H15O11N1P1",1.07,0.79
"C19H16O6S2",0.84,0.32
"C20H20O1S4",1,0.05
"C16H20O8S2",1.25,0.5
"C12H23O8N1S2P1",1.92,0.67
"C19H16O10",0.84,0.53
"C20H20O5S2",1,0.25
"C23H16O7",0.7,0.3
"C24H20O2S2",0.83,0.08
"C21H24O2S3",1.14,0.1
"C29H12O1N2",0.41,0.03
"C16H20O12",1.25,0.75
"C17H24O7S2",1.41,0.41
"C13H27O7N1S2P1",2.08,0.54
"C19H20O6N2S1",1.05,0.32
"C21H24O4S2",1.14,0.19
"C17H27O4N1S2P1",1.59,0.24
"C25H24O1S2",0.96,0.04
"C12H24O13N2",2,1.08
"C12H24O13N2",2,1.08
"C17H27O6N1S1P1",1.59,0.35
"C22H28O1S3",1.27,0.05
"C17H24O11",1.41,0.65
"C18H28O6S2",1.56,0.33
"C19H32O1S4",1.68,0.05
"C22H28O3S2",1.27,0.14
"C18H31O3N1S2P1",1.72,0.17
"C18H30O6P2",1.67,0.33
"C27H20O2N2",0.74,0.07
"C22H28O5S1",1.27,0.23
"C18H28O10",1.56,0.56
"C19H32O5S2",1.68,0.26
"C23H32O2S2",1.39,0.09
"C18H32O6N2S1",1.78,0.33
"C23H32O4S1",1.39,0.17
"C19H32O9",1.68,0.47
"C20H36O4S2",1.8,0.2
"C18H32O8N2",1.78,0.44
"C21H40O3S2",1.9,0.14
"C16H7O8N1S2",0.44,0.5
"C15H7O9N3S1",0.47,0.6
"C16H11O6N3S2",0.69,0.38
"C24H7O4N1S1",0.29,0.17
"C13H27O9N1S2",2.08,0.69
"C17H26O7S1P1",1.53,0.41
"C13H26O12P1",2,0.92
"C24H22O4P1",0.92,0.17
"C16H23O11N1",1.44,0.69
"C14H30O9S1P1",2.14,0.64
"C19H35O4N1S2",1.84,0.21
"C19H35O6N1S1",1.84,0.32
"C10H4O10N2S1P2",0.4,1
"C15H5O7N1S2P1",0.33,0.47
"C20H6O2S4",0.3,0.1
"C15H5O9N1S1P1",0.33,0.6
"C20H6O4S3",0.3,0.2
"C19H6O5N2S2",0.32,0.26
"C23H5O3N1S1P1",0.22,0.13
"C18H14O7S2",0.78,0.39
"C18H14O11",0.78,0.61
"C19H18O6S2",0.95,0.32
"C20H22O1S4",1.1,0.05
"C22H14O8",0.64,0.36
"C19H20O6P2",1.05,0.32
"C28H10O2N2",0.36,0.07
"C16H22O8S2",1.38,0.5
"C11H22O12N2S1",2,1.09
"C19H18O10",0.95,0.53
"C20H22O5S2",1.1,0.25
"C21H26O2S3",1.24,0.1
"C29H14O1N2",0.48,0.03
"C16H22O12",1.38,0.75
"C20H22O9",1.1,0.45
"C21H26O4S2",1.24,0.19
"C17H28O7P2",1.65,0.41
"C24H22O6",0.92,0.25
"C21H26O6S1",1.24,0.29
"C22H30O1S3",1.36,0.05
"C17H26O11",1.53,0.65
"C22H30O3S2",1.36,0.14
"C18H32O6P2",1.78,0.33
"C18H32O6P2",1.78,0.33
"C22H30O5S1",1.36,0.23
"C18H30O10",1.67,0.56
"C17H30O9N2",1.76,0.53
"C23H34O2S2",1.48,0.09
"C23H34O4S1",1.48,0.17
"C9H13O5N1S6",1.44,0.56
"C15H5O11N1S1",0.33,0.73
"C17H12O8S1P1",0.71,0.47
"C18H17O6N1S2",0.94,0.33
"C26H16O3P1",0.62,0.12
"C23H20O5P1",0.87,0.22
"C27H21O3N1",0.78,0.11
"C11H4O3S7",0.36,0.27
"C10H2O12S1P2",0.2,1.2
"C15H4O6S4",0.27,0.4
"C13H14O9S1P2",1.08,0.69
"C13H15O12N1P1",1.15,0.92
"C18H16O7S2",0.89,0.39
"C19H20O2S4",1.05,0.11
"C23H20O1S3",0.87,0.04
"C18H16O11",0.89,0.61
"C19H20O6S2",1.05,0.32
"C20H24O1S4",1.2,0.05
"C20H24O1S4",1.2,0.05
"C20H24O3S3",1.2,0.15
"C28H12O2N2",0.43,0.07
"C15H20O13",1.33,0.87
"C14H20O12N2",1.43,0.86
"C19H20O10",1.05,0.53
"C20H24O5S2",1.2,0.25
"C16H27O5N1S2P1",1.69,0.31
"C21H28O2S3",1.33,0.1
"C29H16O1N2",0.55,0.03
"C21H28O4S2",1.33,0.19
"C17H31O4N1S2P1",1.82,0.24
"C26H20O3N2",0.77,0.12
"C24H24O6",1,0.25
"C21H28O6S1",1.33,0.29
"C22H32O1S3",1.45,0.05
"C17H28O11",1.65,0.65
"C25H28O3S1",1.12,0.12
"C21H28O8",1.33,0.38
"C17H31O8N1P1",1.82,0.47
"C22H32O3S2",1.45,0.14
"C22H32O5S1",1.45,0.23
"C18H32O10",1.78,0.56
"C23H36O2S2",1.57,0.09
"C26H48O1S1",1.85,0.04
"C12H11O3N1S6",0.92,0.25
"C26H7O1N3S1",0.27,0.04
"C17H14O10P1",0.82,0.59
"C17H14O10P1",0.82,0.59
"C15H22O7S2P1",1.47,0.47
"C26H18O3P1",0.69,0.12
"C16H27O7N1S2",1.69,0.44
"C19H27O5N3S1",1.42,0.26
"C27H23O3N1",0.85,0.11
"C18H34O6S1P1",1.89,0.33
"C22H35O2N1S2",1.59,0.09
"C10H2O6S6",0.2,0.6
"C11H6O11S3",0.55,1
"C12H10O6S5",0.83,0.5
"C11H8O9S2P2",0.73,0.82
"C9H14O6S6",1.56,0.67
"C9H14O6S6",1.56,0.67
"C13H14O3S6",1.08,0.23
"C18H6O4N2S3",0.33,0.22
"C17H14O12",0.82,0.71
"C18H18O7S2",1,0.39
"C19H22O2S4",1.16,0.11
"C14H18O14",1.29,1
"C15H22O9S2",1.47,0.6
"C16H26O4S4",1.62,0.25
"C13H18O13N2",1.38,1
"C14H22O8N2S2",1.57,0.57
"C22H18O6S1",0.82,0.27
"C23H22O1S3",0.96,0.04
"C18H18O11",1,0.61
"C19H22O6S2",1.16,0.32
"C20H26O1S4",1.3,0.05
"C19H25O3N1S2P1",1.32,0.16
"C20H26O3S3",1.3,0.15
"C19H24O6P2",1.26,0.32
"C28H14O2N2",0.5,0.07
"C11H25O13N1P1",2.27,1.18
"C19H22O10",1.16,0.53
"C20H26O5S2",1.3,0.25
"C20H26O7S1",1.3,0.35
"C21H30O2S3",1.43,0.1
"C29H18O1N2",0.62,0.03
"C24H26O4S1",1.08,0.17
"C20H26O9",1.3,0.45
"C21H30O4S2",1.43,0.19
"C16H30O8N2S1",1.88,0.5
"C24H26O6",1.08,0.25
"C21H30O6S1",1.43,0.29
"C22H34O1S3",1.55,0.05
"C17H30O11",1.76,0.65
"C21H30O8",1.43,0.38
"C22H34O3S2",1.55,0.14
"C18H37O3N1S2P1",2.06,0.17
"C18H36O6P2",2,0.33
"C22H34O5S1",1.55,0.23
"C18H34O10",1.89,0.56
"C23H38O2S2",1.65,0.09
"C10H5O11N1S3",0.5,1.1
"C14H4O9S2P1",0.29,0.64
"C10H7O9N1S2P2",0.7,0.9
"C12H13O1N1S7",1.08,0.08
"C8H13O6N1S6",1.62,0.75
"C8H13O6N1S6",1.62,0.75
"C21H5O3N3S2",0.24,0.14
"C12H12O12S1P1",1,1
"C12H12O12S1P1",1,1
"C21H5O7N3",0.24,0.33
"C19H25O5N1S2",1.32,0.26
"C19H24O8P1",1.26,0.42
"C26H21O4N1",0.81,0.15
"C20H29O6N1S1",1.45,0.3
"C19H29O5N3S1",1.53,0.26
"C27H25O3N1",0.93,0.11
"C20H33O4N3S1",1.65,0.2
"C28H29O2N1",1.04,0.07
"C18H37O7N1S1",2.06,0.39
"C22H36O5P1",1.64,0.23
"C27H29O1N3",1.07,0.04
"C12H12O10S3",1,0.83
"C11H10O13P2",0.91,1.18
"C12H14O8S2P2",1.17,0.67
"C17H4O9N2S1",0.24,0.53
"C17H4O11N2",0.24,0.65
"C12H12O14S1",1,1.17
"C16H12O13",0.75,0.81
"C13H19O8N1S2P1",1.46,0.62
"C22H20O2S3",0.91,0.09
"C17H16O12",0.94,0.71
"C18H20O7S2",1.11,0.39
"C19H24O2S4",1.26,0.11
"C14H20O12S1",1.43,0.86
"C22H20O4S2",0.91,0.18
"C13H20O13N2",1.54,1
"C23H24O1S3",1.04,0.04
"C18H20O11",1.11,0.61
"C19H24O6S2",1.26,0.32
"C20H28O1S4",1.4,0.05
"C19H24O8S1",1.26,0.42
"C19H26O6P2",1.37,0.32
"C19H27O5N1S1P1",1.42,0.26
"C19H24O10",1.26,0.53
"C20H28O5S2",1.4,0.25
"C16H31O7N1S1P1",1.94,0.44
"C21H32O2S3",1.52,0.1
"C29H20O1N2",0.69,0.03
"C17H32O7S2",1.88,0.41
"C18H36O2S4",2,0.11
"C24H28O4S1",1.17,0.17
"C20H28O9",1.4,0.45
"C21H32O6S1",1.52,0.29
"C22H36O1S3",1.64,0.05
"C17H32O11",1.88,0.65
"C21H32O8",1.52,0.38
"C22H36O3S2",1.64,0.14
"C22H36O5S1",1.64,0.23
"C18H36O10",2,0.56
"C23H40O2S2",1.74,0.09
"C24H44O1S2",1.83,0.04
"C13H19O2N1S6",1.46,0.15
"C21H7O1N3S3",0.33,0.05
"C9H19O7N1S5",2.11,0.78
"C14H7O14N1",0.5,1
"C12H15O11N1S2",1.25,0.92
"C26H22O3P1",0.85,0.12
"C26H23O4N1",0.88,0.15
"C20H31O4N1S2",1.55,0.2
"C22H27O3N3S1",1.23,0.14
"C19H31O5N3S1",1.63,0.26
"C19H31O5N3S1",1.63,0.26
"C17H35O10N1",2.06,0.59
"C22H38O3S1P1",1.73,0.14
"C28H31O2N1",1.11,0.07
"C16H35O9N3",2.19,0.56
"C13H6O2N2S6",0.46,0.15
"C12H14O10S3",1.17,0.83
"C20H5O6N3P1",0.25,0.3
"C19H10O11",0.53,0.58
"C21H18O1S4",0.86,0.05
"C16H14O13",0.88,0.81
"C17H18O8S2",1.06,0.47
"C18H22O3S4",1.22,0.17
"C21H18O5S2",0.86,0.24
"C17H18O10S1",1.06,0.59
"C22H22O2S3",1,0.09
"C17H18O12",1.06,0.71
"C18H22O7S2",1.22,0.39
"C19H26O2S4",1.37,0.11
"C17H22O6N2S2",1.29,0.35
"C22H22O4S2",1,0.18
"C18H24O7P2",1.33,0.39
"C18H25O6N1S1P1",1.39,0.33
"C23H26O1S3",1.13,0.04
"C18H22O11",1.22,0.61
"C19H26O6S2",1.37,0.32
"C20H30O1S4",1.5,0.05
"C16H30O6S3",1.88,0.38
"C19H28O6P2",1.47,0.32
"C28H18O2N2",0.64,0.07
"C26H22O5",0.85,0.19
"C23H26O5S1",1.13,0.22
"C19H26O10",1.37,0.53
"C20H30O5S2",1.5,0.25
"C16H32O8P2",2,0.5
"C20H30O7S1",1.5,0.35
"C21H34O2S3",1.62,0.1
"C29H22O1N2",0.76,0.03
"C16H30O12",1.88,0.75
"C19H30O6N2S1",1.58,0.32
"C24H30O4S1",1.25,0.17
"C20H30O9",1.5,0.45
"C21H34O4S2",1.62,0.19
"C22H38O1S3",1.73,0.05
"C21H34O8",1.62,0.38
"C22H38O3S2",1.73,0.14
"C27H30O2N2",1.11,0.07
"C22H38O7",1.73,0.32
"C23H42O2S2",1.83,0.09
"C26H38O4",1.46,0.15
"C24H46O1S2",1.92,0.04
"C15H12O8S2P1",0.8,0.53
"C20H5O4N3S2",0.25,0.2
"C11H12O13S1P1",1.09,1.18
"C17H8O7N2S1P1",0.47,0.41
"C17H9O8N3S1",0.53,0.47
"C25H5O6N1",0.2,0.24
"C26H9O1N1S2",0.35,0.04
"C19H13O6N1S2",0.68,0.32
"C23H12O4S1P1",0.52,0.17
"C22H13O2N3S2",0.59,0.09
"C13H20O11S1P1",1.54,0.85
"C13H21O10N1S2",1.62,0.77
"C17H20O8S1P1",1.18,0.47
"C22H13O4N3S1",0.59,0.18
"C18H24O7S1P1",1.33,0.39
"C21H37O3N1S2",1.76,0.14
"C22H41O2N1S2",1.86,0.09
"C9H4O7S6",0.44,0.78
"C16H16O9S2",1,0.56
"C16H18O7S1P2",1.12,0.44
"C12H18O12P2",1.5,1
"C19H12O11",0.63,0.58
"C20H16O6S2",0.8,0.3
"C21H20O1S4",0.95,0.05
"C20H16O8S1",0.8,0.4
"C16H16O13",1,0.81
"C17H20O8S2",1.18,0.47
"C17H22O6S1P2",1.29,0.35
"C20H16O10",0.8,0.5
"C21H20O5S2",0.95,0.24
"C22H24O2S3",1.09,0.09
"C17H20O12",1.18,0.71
"C18H24O7S2",1.33,0.39
"C19H28O2S4",1.47,0.11
"C16H20O11N2",1.25,0.69
"C12H23O11N3P1",1.92,0.92
"C22H24O4S2",1.09,0.18
"C18H27O4N1S2P1",1.5,0.22
"C22H24O6S1",1.09,0.27
"C23H28O1S3",1.22,0.04
"C18H24O11",1.33,0.61
"C19H28O6S2",1.47,0.32
"C20H32O1S4",1.6,0.05
"C22H27O3N1S1P1",1.23,0.14
"C22H24O8",1.09,0.36
"C23H28O3S2",1.22,0.13
"C19H30O6P2",1.58,0.32
"C28H20O2N2",0.71,0.07
"C23H28O5S1",1.22,0.22
"C19H28O10",1.47,0.53
"C20H32O5S2",1.6,0.25
"C16H35O5N1S2P1",2.19,0.31
"C16H35O7N1S1P1",2.19,0.44
"C29H24O1N2",0.83,0.03
"C19H32O6N2S1",1.68,0.32
"C24H32O4S1",1.33,0.17
"C20H32O9",1.6,0.45
"C21H36O4S2",1.71,0.19
"C22H40O3S2",1.82,0.14
"C23H44O2S2",1.91,0.09
"C10H10O12S2P1",1,1.2
"C12H18O10S2P1",1.5,0.83
"C17H11O6N3S2",0.65,0.35
"C25H7O4N1S1",0.28,0.16
"C25H7O4N1S1",0.28,0.16
"C25H22O4P1",0.88,0.16
"C15H30O9S1P1",2,0.6
"C26H26O3P1",1,0.12
"C19H31O5N1S2",1.63,0.26
"C20H35O4N1S2",1.75,0.2
"C20H35O8N1",1.75,0.4
"C21H39O3N1S2",1.86,0.14
"C21H6O2S4",0.29,0.1
"C9H10O9N2S4",1.11,1
"C20H5O4N1S2P1",0.25,0.2
"C20H5O4N1S2P1",0.25,0.2
"C24H5O3N1S1P1",0.21,0.12
"C24H5O3N1S1P1",0.21,0.12
"C14H12O11P2",0.86,0.79
"C11H14O13S2",1.27,1.18
"C16H9O9N3P1",0.56,0.56
"C23H14O2S3",0.61,0.09
"C15H17O7N1S2P1",1.13,0.47
"C19H16O7P2",0.84,0.37
"C16H18O9S2",1.12,0.56
"C15H18O8N2S2",1.2,0.53
"C19H14O11",0.74,0.58
"C20H18O6S2",0.9,0.3
"C21H22O1S4",1.05,0.05
"C16H18O13",1.12,0.81
"C17H22O8S2",1.29,0.47
"C17H24O6S1P2",1.41,0.35
"C27H14O5",0.52,0.19
"C20H18O10",0.9,0.5
"C21H22O5S2",1.05,0.24
"C13H26O9N2S2",2,0.69
"C22H26O2S3",1.18,0.09
"C30H14O1N2",0.47,0.03
"C17H22O12",1.29,0.71
"C18H26O7S2",1.44,0.39
"C19H30O2S4",1.58,0.11
"C21H25O4N1S1P1",1.19,0.19
"C22H26O4S2",1.18,0.18
"C18H29O4N1S2P1",1.61,0.22
"C18H28O7P2",1.56,0.39
"C17H26O8N2S1",1.53,0.47
"C22H26O6S1",1.18,0.27
"C23H30O1S3",1.3,0.04
"C18H26O11",1.44,0.61
"C19H30O6S2",1.58,0.32
"C15H33O6N1S2P1",2.2,0.4
"C23H30O3S2",1.3,0.13
"C19H33O3N1S2P1",1.74,0.16
"C18H30O7N2S1",1.67,0.39
"C23H30O5S1",1.3,0.22
"C19H30O10",1.58,0.53
"C20H34O5S2",1.7,0.25
"C24H34O2S2",1.42,0.08
"C19H34O6N2S1",1.79,0.32
"C27H30O4",1.11,0.15
"C24H34O4S1",1.42,0.17
"C20H34O9",1.7,0.45
"C21H38O4S2",1.81,0.19
"C25H38O1S2",1.52,0.04
"C22H42O3S2",1.91,0.14
"C15H5O4N3S4",0.33,0.27
"C11H17O2N1S7",1.55,0.18
"C19H5O1N3S4",0.26,0.05
"C20H21O7N1S1",1.05,0.35
"C16H24O7N2S1P1",1.5,0.44
"C24H20O5P1",0.83,0.21
"C14H28O12P1",2,0.86
"C25H24O4P1",0.96,0.16
"C17H25O11N1",1.47,0.65
"C19H32O6S1P1",1.68,0.32
"C26H28O3P1",1.08,0.12
"C24H41O1N3S1",1.71,0.04
"C16H4O10S2",0.25,0.62
"C12H7O10N1S2P1",0.58,0.83
"C16H8O4N2S4",0.5,0.25
"C15H6O7N2S1P2",0.4,0.47
"C21H8O2S4",0.38,0.1
"C16H4O12S1",0.25,0.75
"C14H12O11S2",0.86,0.79
"C16H11O5N3S2P1",0.69,0.31
"C18H12O12",0.67,0.67
"C19H16O7S2",0.84,0.37
"C20H20O2S4",1,0.1
"C20H20O2S4",1,0.1
"C15H16O14",1.07,0.93
"C16H20O9S2",1.25,0.56
"C19H16O11",0.84,0.58
"C20H20O6S2",1,0.3
"C21H24O1S4",1.14,0.05
"C15H20O10N2S1",1.33,0.67
"C20H20O8S1",1,0.4
"C20H22O6P2",1.1,0.3
"C17H26O6S1P2",1.53,0.35
"C26H16O2N2S1",0.62,0.08
"C13H24O13S1",1.85,1
"C15H20O12N2",1.33,0.8
"C12H24O12N2S1",2,1
"C20H20O10",1,0.5
"C21H24O5S2",1.14,0.24
"C21H24O7S1",1.14,0.33
"C22H28O2S3",1.27,0.09
"C30H16O1N2",0.53,0.03
"C17H24O12",1.41,0.71
"C16H27O6N3S1P1",1.69,0.38
"C22H28O4S2",1.27,0.18
"C18H31O4N1S2P1",1.72,0.22
"C25H24O6",0.96,0.24
"C22H28O6S1",1.27,0.27
"C23H32O1S3",1.39,0.04
"C18H28O11",1.56,0.61
"C14H31O11N1P1",2.21,0.79
"C18H32O5N2S2",1.78,0.28
"C23H32O3S2",1.39,0.13
"C18H32O7N2S1",1.78,0.39
"C18H32O7N2S1",1.78,0.39
"C23H32O5S1",1.39,0.22
"C19H32O10",1.68,0.53
"C18H32O9N2",1.78,0.5
"C23H32O7",1.39,0.3
"C24H36O2S2",1.5,0.08
"C24H36O4S1",1.5,0.17
"C20H36O9",1.8,0.45
"C10H15O5N1S6",1.5,0.5
"C15H7O6N3S3",0.47,0.4
"C19H6O4N2S2P1",0.32,0.21
"C18H5O6N3P2",0.28,0.33
"C10H14O12S2P1",1.4,1.2
"C14H3O13N3",0.21,0.93
"C15H7O8N3S2",0.47,0.53
"C15H7O8N3S2",0.47,0.53
"C21H10O4S2P1",0.48,0.19
"C27H18O3P1",0.67,0.11
"C11H23O12N3S1",2.09,1.09
"C24H22O5P1",0.92,0.21
"C29H15O1N3",0.52,0.03
"C28H23O3N1",0.82,0.11
"C24H26O3N2P1",1.08,0.12
"C21H31O2N3S2",1.48,0.1
"C21H31O4N3S1",1.48,0.19
"C29H27O2N1",0.93,0.07
"C13H10O6S5",0.77,0.46
"C14H14O1S7",1,0.07
"C12H8O11S1P2",0.67,0.92
"C15H6O7N2S3",0.4,0.47
"C14H4O10N2P2",0.29,0.71
"C18H5O4N3S2P1",0.28,0.22
"C14H14O11S2",1,0.79
"C18H14O12",0.78,0.67
"C19H18O7S2",0.95,0.37
"C20H22O2S4",1.1,0.1
"C16H22O9S2",1.38,0.56
"C23H18O6S1",0.78,0.26
"C24H22O1S3",0.92,0.04
"C11H22O13N2S1",2,1.18
"C19H18O11",0.95,0.58
