"formula","HC","OC"
"C10H8O7",0.8,0.7
"C11H12O6",1.09,0.55
"C8H16O6S1",2,0.75
"C10H12O5N2",1.2,0.5
"C12H16O5",1.33,0.42
"C11H16O4N2",1.45,0.36
"C13H20O4",1.54,0.31
"C8H7O6N3",0.88,0.75
"C5H10O5N2S2",2,1
"C10H10O7",1,0.7
"C11H14O4S1",1.27,0.36
"C11H14O6",1.27,0.55
"C12H18O5",1.5,0.42
"C13H22O4",1.69,0.31
"C15H30O2",2,0.13
"C13H25O3N1",1.92,0.23
"C13H25O3N1",1.92,0.23
"C8H8O3N2S2",1,0.38
"C10H12O7",1.2,0.7
"C16H8O1N2",0.5,0.06
"C16H8O1N2",0.5,0.06
"C11H16O6",1.45,0.55
"C11H16O6",1.45,0.55
"C12H20O1S2",1.67,0.08
"C12H20O5",1.67,0.42
"C13H24O4",1.85,0.31
"C13H24O4",1.85,0.31
"C9H15O1N3S2",1.67,0.11
"C9H15O5N3",1.67,0.56
"C11H19O5N1",1.73,0.45
"C6H2O7N2S1",0.33,1.17
"C16H6O1S1",0.38,0.06
"C10H14O7",1.4,0.7
"C11H18O2S2",1.64,0.18
"C11H18O4S1",1.64,0.36
"C11H18O6",1.64,0.55
"C12H22O1S2",1.83,0.08
"C12H22O5",1.83,0.42
"C9H12O8",1.33,0.89
"C8H15O4N3P1",1.88,0.5
"C10H16O7",1.6,0.7
"C13H16O1N2S1",1.23,0.08
"C11H20O6",1.82,0.55
"C12H24O1S2",2,0.08
"C5H3O3N3S3",0.6,0.6
"C7H6O6S1P1",0.86,0.86
"C12H11O3N1S1",0.92,0.25
"C8H10O1S4",1.25,0.12
"C9H2O5N2S1",0.22,0.56
"C5H5O5N3S1P1",1,1
"C6H6O5N2S2",1,0.83
"C10H2O8",0.2,0.8
"C10H2O8",0.2,0.8
"C13H14O1S2",1.08,0.08
"C13H14O5",1.08,0.38
"C10H5O3N1S2",0.5,0.3
"C6H8O3N2S2P1",1.33,0.5
"C10H9O3N3S1",0.9,0.3
"C14H21O3N1",1.5,0.21
"C10H24O3N2P1",2.4,0.3
"C13H21O2N3",1.62,0.15
"C10H4O6S1",0.4,0.6
"C11H8O1S3",0.73,0.09
"C11H8O7",0.73,0.64
"C12H12O6",1,0.5
"C13H16O5",1.23,0.38
"C10H20O7",2,0.7
"C9H7O6N3",0.78,0.67
"C12H15O5N1",1.25,0.42
"C13H19O4N1",1.46,0.31
"C5H9O5N3S1P1",1.8,1
"C6H10O5N2S2",1.67,0.83
"C10H6O8",0.6,0.8
"C11H10O7",0.91,0.64
"C12H14O2S2",1.17,0.17
"C9H18O2S3",2,0.22
"C12H14O4S1",1.17,0.33
"C12H14O6",1.17,0.5
"C13H18O1S2",1.38,0.08
"C13H18O3S1",1.38,0.23
"C14H22O4",1.57,0.29
"C16H30O2",1.88,0.12
"C10H9O5N1S1",0.9,0.5
"C12H5O4N3",0.42,0.33
"C18H9O1N1",0.5,0.06
"C10H8O8",0.8,0.8
"C11H12O5S1",1.09,0.45
"C11H12O5S1",1.09,0.45
"C11H12O7",1.09,0.64
"C12H16O2S2",1.33,0.17
"C12H16O4S1",1.33,0.33
"C12H16O6",1.33,0.5
"C13H20O1S2",1.54,0.08
"C13H20O3S1",1.54,0.23
"C13H20O5",1.54,0.38
"C14H24O4",1.71,0.29
"C16H32O2",2,0.12
"C16H32O2",2,0.12
"C5H7O3N1S4",1.4,0.6
"C13H7O1N1S2",0.54,0.08
"C9H7O8N1",0.78,0.89
"C6H14O3N2S2P1",2.33,0.5
"C8H18O3S2P1",2.25,0.38
"C11H15O4N1S1",1.36,0.36
"C18H11O1N1",0.61,0.06
"C10H10O8",1,0.8
"C11H14O5S1",1.27,0.45
"C11H14O7",1.27,0.64
"C12H18O2S2",1.5,0.17
"C12H18O6",1.5,0.5
"C13H22O1S2",1.69,0.08
"C13H22O5",1.69,0.38
"C14H26O4",1.86,0.29
"C13H25O4N1",1.92,0.31
"C10H12O8",1.2,0.8
"C11H16O7",1.45,0.64
"C12H20O6",1.67,0.5
"C13H24O1S2",1.85,0.08
"C13H24O5",1.85,0.38
"C14H28O4",2,0.29
"C11H7O3N3S1",0.64,0.27
"C13H11O3N1S1",0.85,0.23
"C11H6O2N2S2",0.55,0.18
"C13H10O4S1",0.77,0.31
"C13H10O6",0.77,0.46
"C10H14O8",1.4,0.8
"C11H18O7",1.64,0.64
"C12H22O6",1.83,0.5
"C7H8O5N2S1P1",1.14,0.71
"C8H9O5N1S2",1.12,0.62
"C12H8O5P1",0.67,0.42
"C6H3O5N1S2P1",0.5,0.83
"C12H8O7",0.67,0.58
"C13H12O4S1",0.92,0.31
"C9H12O9",1.33,1
"C13H12O6",0.92,0.46
"C14H16O1S2",1.14,0.07
"C14H16O5",1.14,0.36
"C11H20O7",1.82,0.64
"C12H24O4S1",2,0.33
"C14H7O1N3S1",0.5,0.07
"C14H7O1N3S1",0.5,0.07
"C15H23O3N1",1.53,0.2
"C11H6O8",0.55,0.73
"C12H10O7",0.83,0.58
"C13H14O2S2",1.08,0.15
"C11H10O6N2",0.91,0.55
"C13H14O4S1",1.08,0.31
"C13H14O6",1.08,0.46
"C14H18O5",1.29,0.36
"C10H8O3N2S1P1",0.8,0.3
"C14H9O1N3S1",0.64,0.07
"C10H21O7N1",2.1,0.7
"C13H21O3N3",1.62,0.23
"C7H8O7S2",1.14,1
"C11H8O8",0.73,0.73
"C11H8O8",0.73,0.73
"C8H15O3N1S2P1",1.88,0.38
"C12H12O7",1,0.58
"C13H16O4S1",1.23,0.31
"C9H19O4N1S1P1",2.11,0.44
"C13H16O6",1.23,0.46
"C14H20O1S2",1.43,0.07
"C14H20O3S1",1.43,0.21
"C14H20O5",1.43,0.36
"C15H24O2S1",1.6,0.13
"C15H24O4",1.6,0.27
"C19H11O1N1",0.58,0.05
"C12H15O6N1",1.25,0.5
"C14H23O4N1",1.64,0.29
"C6H10O6N2S2",1.67,1
"C10H6O9",0.6,0.9
"C11H10O8",0.91,0.73
"C8H17O3N1S2P1",2.12,0.38
"C12H14O5S1",1.17,0.42
"C8H17O5N1S1P1",2.12,0.62
"C16H14O2S1",0.88,0.12
"C12H14O7",1.17,0.58
"C13H18O4S1",1.38,0.31
"C13H18O6",1.38,0.46
"C14H22O3S1",1.57,0.21
"C14H22O5",1.57,0.36
"C15H26O4",1.73,0.27
"C16H30O3",1.88,0.19
"C17H34O2",2,0.12
"C9H9O5N3S1",1,0.56
"C19H13O1N1",0.68,0.05
"C6H12O6N2S2",2,1
"C10H8O9",0.8,0.9
"C11H12O8",1.09,0.73
"C11H12O8",1.09,0.73
"C8H19O3N1S2P1",2.38,0.38
"C12H16O5S1",1.33,0.42
"C12H16O7",1.33,0.58
"C12H20O1N2S2",1.67,0.08
"C16H16O4",1,0.25
"C13H20O4S1",1.54,0.31
"C13H20O6",1.54,0.46
"C14H24O5",1.71,0.36
"C15H28O4",1.87,0.27
"C16H32O3",2,0.19
"C6H14O4N2S2P1",2.33,0.67
"C13H23O5N1",1.77,0.38
"C17H23O2N1",1.35,0.12
"C14H27O4N1",1.93,0.29
"C14H27O4N1",1.93,0.29
"C14H10O4S1",0.71,0.29
"C10H10O9",1,0.9
"C11H14O4S2",1.27,0.36
"C14H10O6",0.71,0.43
"C15H14O3S1",0.93,0.2
"C11H14O8",1.27,0.73
"C12H18O7",1.5,0.58
"C16H18O4",1.12,0.25
"C13H22O6",1.69,0.46
"C14H26O5",1.86,0.36
"C8H9O4N3S2",1.12,0.5
"C8H9O4N3S2",1.12,0.5
"C11H17O7N1",1.55,0.64
"C13H25O5N1",1.92,0.38
"C7H7O5N3S1P1",1,0.71
"C15H3O3N1P1",0.2,0.2
"C16H4O3S1",0.25,0.19
