"Mass","formula","HC","OC"
279.0874394,"C14H16O6",1.14,0.43
279.1061102,"C15H20O3S1",1.33,0.2
279.1238252,"C15H20O5",1.33,0.33
279.1271622,"C12H24O5S1",2,0.42
279.1348844,"C14H20O4N2",1.43,0.29
279.1602168,"C16H24O4",1.5,0.25
279.1718378,"C11H27O3N3P1",2.45,0.27
280.0187099,"C14H7O2N3S1",0.5,0.14
280.0767183,"C20H11O1N1",0.55,0.05
280.1035661,"C10H19O8N1",1.9,0.8
280.9429685,"C7H6O8S2",0.86,1.14
280.9907859,"C7H10O6N2S2",1.43,0.86
280.9938399,"C11H6O9",0.55,0.82
281.0302625,"C12H10O8",0.83,0.67
281.0314729,"C9H17O3N1S2P1",1.89,0.33
281.0336871,"C9H14O8S1",1.56,0.89
281.0489131,"C13H14O5S1",1.08,0.38
281.0666694,"C13H14O7",1.08,0.54
281.0701123,"C10H18O7S1",1.8,0.7
281.0853607,"C14H18O4S1",1.29,0.29
281.1030438,"C14H18O6",1.29,0.43
281.114061,"C13H18O5N2",1.38,0.38
281.1174416,"C10H22O5N2S1",2.2,0.5
281.1216971,"C15H22O3S1",1.47,0.2
281.1394557,"C15H22O5",1.47,0.33
281.1759434,"C16H26O4",1.62,0.25
281.2486841,"C18H34O2",1.89,0.11
281.9217738,"C10H4O4S2P1",0.4,0.4
281.9832625,"C10H9O1N3S3",0.9,0.1
282.0343902,"C14H9O2N3S1",0.64,0.14
282.0924241,"C20H13O1N1",0.65,0.05
282.0983354,"C13H17O6N1",1.31,0.46
282.1458918,"C13H21O4N3",1.62,0.31
282.9408275,"C7H8O6S3",1.14,0.86
282.94127,"C7H8O6S3",1.14,0.86
283.0095251,"C11H8O9",0.73,0.82
283.0107487,"C8H15O4N1S2P1",1.88,0.5
283.0459544,"C12H12O8",1,0.67
283.0471586,"C9H19O3N1S2P1",2.11,0.33
283.0581279,"C12H16O2N2S2",1.33,0.17
283.0646029,"C13H16O5S1",1.23,0.38
283.0823285,"C13H16O7",1.23,0.54
283.0945256,"C13H20O1N2S2",1.54,0.08
283.1009564,"C14H20O4S1",1.43,0.29
283.118703,"C14H20O6",1.43,0.43
283.1373448,"C15H24O3S1",1.6,0.2
283.1551322,"C15H24O5",1.6,0.33
283.1914879,"C16H28O4",1.75,0.25
283.2642326,"C18H36O2",2,0.11
283.9366375,"C9H2O9P1",0.22,1
284.0235505,"C11H11O6N1S1",1,0.55
284.0240789,"C12H15O1N1S3",1.25,0.08
284.0606499,"C16H14O3P1",0.88,0.19
284.093399,"C12H18O4N2P1",1.5,0.33
284.1073427,"C12H19O3N3S1",1.58,0.25
284.9317969,"C5H6O6N2S3",1.2,1.2
285.0252176,"C11H10O9",0.91,0.82
285.0264004,"C8H17O4N1S2P1",2.12,0.5
285.0403103,"C15H10O6",0.67,0.4
285.0440164,"C12H14O6S1",1.17,0.5
285.0615753,"C12H14O8",1.17,0.67
285.0628293,"C9H21O3N1S2P1",2.33,0.33
285.0802654,"C13H18O5S1",1.38,0.38
285.0979797,"C13H18O7",1.38,0.54
285.1133446,"C17H18O4",1.06,0.24
285.116621,"C14H22O4S1",1.57,0.29
285.1343712,"C14H22O6",1.57,0.43
285.170819,"C15H26O5",1.73,0.33
285.2071672,"C16H30O4",1.88,0.25
285.9629729,"C8H4O8N2P1",0.5,1
285.9632618,"C8H4O8N2P1",0.5,1
286.020692,"C10H9O9N1",0.9,0.9
286.0280278,"C8H16O7S1P1",2,0.88
286.0873106,"C19H13O2N1",0.68,0.11
286.1294683,"C13H21O6N1",1.62,0.46
286.2024586,"C15H29O4N1",1.93,0.27
286.9119616,"C8H3O5N1S2P1",0.38,0.62
286.951397,"C9H6O7P2",0.67,0.78
287.0196953,"C14H8O7",0.57,0.5
287.0384936,"C15H12O4S1",0.8,0.27
287.0408882,"C11H12O9",1.09,0.82
287.0420891,"C8H19O4N1S2P1",2.38,0.5
287.0537986,"C19H12O1S1",0.63,0.05
287.0560246,"C15H12O6",0.8,0.4
287.0563719,"C15H12O6",0.8,0.4
287.0595456,"C12H16O6S1",1.33,0.5
287.0749215,"C16H16O3S1",1,0.19
287.077272,"C12H16O8",1.33,0.67
287.1136477,"C13H20O7",1.54,0.54
287.1500303,"C14H24O6",1.71,0.43
287.1864932,"C15H28O5",1.87,0.33
287.2229195,"C16H32O4",2,0.25
288.0371756,"C11H15O4N1S2",1.36,0.36
288.1454492,"C13H23O6N1",1.77,0.46
288.1817667,"C14H27O5N1",1.93,0.36
288.8585163,"C8H2O2S5",0.25,0.25
288.9124628,"C9H6O3S4",0.67,0.33
288.9482994,"C9H6O7S2",0.67,0.78
289.0354818,"C14H10O7",0.71,0.5
289.054142,"C15H14O4S1",0.93,0.27
289.0566202,"C11H14O9",1.27,0.82
289.0718705,"C15H14O6",0.93,0.4
289.0904155,"C16H18O3S1",1.12,0.19
289.0929317,"C12H18O8",1.5,0.67
289.1082088,"C16H18O5",1.12,0.31
289.1293572,"C13H22O7",1.69,0.54
289.1656501,"C14H26O6",1.86,0.43
289.2021766,"C15H30O5",2,0.33
289.9689891,"C6H12O7S2P1",2,1.17
289.9698942,"C11H5O3N3S2",0.45,0.27
290.0494874,"C14H13O4N1S1",0.93,0.29
290.1246006,"C12H21O7N1",1.75,0.58
290.9031281,"C7H4O3N2S4",0.57,0.43
290.9496163,"C6H12O5S4",2,0.83
290.9508609,"C10H3O4N3S1P1",0.3,0.4
291.0147204,"C13H8O8",0.62,0.62
291.0158854,"C10H15O3N1S2P1",1.5,0.3
291.0334467,"C14H12O5S1",0.86,0.36
291.0510965,"C14H12O7",0.86,0.5
291.0723305,"C11H16O9",1.45,0.82
291.0874847,"C15H16O6",1.07,0.4
291.1061328,"C16H20O3S1",1.25,0.19
291.1083441,"C12H20O8",1.67,0.67
291.1087265,"C12H20O8",1.67,0.67
291.1238737,"C16H20O5",1.25,0.31
291.1602764,"C17H24O4",1.41,0.24
291.9670508,"C10H3O6N3S1",0.3,0.6
292.0424783,"C8H11O9N3",1.38,1.12
292.0649667,"C14H15O4N1S1",1.07,0.29
292.0653092,"C10H18O4N2S1P1",1.8,0.4
292.0835783,"C15H19O1N1S2",1.27,0.07
292.1038379,"C11H19O8N1",1.73,0.73
292.1402596,"C12H23O7N1",1.92,0.58
292.9585825,"C12H6O5S2",0.5,0.42
292.9938673,"C12H6O9",0.5,0.75
293.0136818,"C14H14O1S3",1,0.07
293.0303285,"C13H10O8",0.77,0.62
293.0315198,"C10H17O3N1S2P1",1.7,0.3
293.0490179,"C14H14O5S1",1,0.36
293.0668,"C14H14O7",1,0.5
293.067263,"C15H18O2S2",1.2,0.13
293.0811927,"C10H18O6N2S1",1.8,0.6
293.103186,"C15H18O6",1.2,0.4
293.1217691,"C16H22O3S1",1.38,0.19
293.1395232,"C16H22O5",1.38,0.31
293.1429019,"C13H26O5S1",2,0.38
293.1758743,"C17H26O4",1.53,0.24
294.0043084,"C15H5O6N1",0.33,0.4
294.0443101,"C13H13O5N1S1",1,0.38
294.062063,"C13H13O7N1",1,0.54
294.0698375,"C11H20O5S1P1",1.82,0.45
294.1346571,"C15H21O5N1",1.4,0.33
295.0096781,"C12H8O9",0.67,0.75
295.0109844,"C9H15O4N1S2P1",1.67,0.44
295.0461034,"C13H12O8",0.92,0.62
295.0472053,"C10H19O3N1S2P1",1.9,0.3
295.0503027,"C10H18O6P2",1.8,0.6
295.0547361,"C16H12O2N2S1",0.75,0.12
295.0569372,"C12H12O7N2",1,0.58
295.0574702,"C8H15O7N3P1",1.88,0.88
295.0647039,"C14H16O5S1",1.14,0.36
295.0824372,"C14H16O7",1.14,0.5
295.1010795,"C15H20O4S1",1.33,0.27
295.1188045,"C15H20O6",1.33,0.4
295.1222244,"C12H24O6S1",2,0.5
295.1373991,"C16H24O3S1",1.5,0.19
295.1399272,"C12H24O8",2,0.67
295.1551891,"C16H24O5",1.5,0.31
295.9007592,"C10H2O5S2P1",0.2,0.5
295.9726289,"C11H6O8P1",0.55,0.73
295.9872734,"C11H7O7N1S1",0.64,0.64
296.0501938,"C15H11O2N3S1",0.73,0.13
296.0556258,"C8H15O7N3S1",1.88,0.88
296.0566155,"C16H11O5N1",0.69,0.31
296.0596572,"C13H15O5N1S1",1.15,0.38
296.0717014,"C20H11O2N1",0.55,0.1
296.1081383,"C21H15O1N1",0.71,0.05
297.0252784,"C12H10O9",0.83,0.75
297.0265867,"C9H17O4N1S2P1",1.89,0.44
297.0441293,"C13H14O6S1",1.08,0.46
297.0472678,"C10H18O6S2",1.8,0.6
297.061699,"C13H14O8",1.08,0.62
297.066698,"C19H10O2N2",0.53,0.11
297.0803461,"C14H18O5S1",1.29,0.36
297.0828524,"C10H18O10",1.8,1
297.0980716,"C14H18O7",1.29,0.5
297.0984663,"C10H21O7N1P1",2.1,0.7
297.110215,"C14H22O1N2S2",1.57,0.07
297.1167255,"C15H22O4S1",1.47,0.27
297.1344647,"C15H22O6",1.47,0.4
297.1530427,"C16H26O3S1",1.62,0.19
297.1708482,"C16H26O5",1.62,0.31
297.2072571,"C17H30O4",1.76,0.24
297.2436534,"C18H34O3",1.89,0.17
298.0292409,"C14H9O3N3S1",0.64,0.21
298.0296234,"C22H5O1N1",0.23,0.05
298.0720092,"C16H13O5N1",0.81,0.31
298.0867073,"C12H17O4N3S1",1.42,0.33
298.0873698,"C20H13O2N1",0.65,0.1
299.0200005,"C15H8O7",0.53,0.47
299.0267568,"C9H16O7S2",1.78,0.78
299.0386806,"C12H15O4N1S1P1",1.25,0.33
299.0409325,"C12H12O9",1,0.75
299.0412719,"C8H15O9N1P1",1.88,1.12
299.0421961,"C9H19O4N1S2P1",2.11,0.44
299.0563259,"C16H12O6",0.75,0.38
299.059712,"C13H16O6S1",1.23,0.46
299.0749521,"C17H16O3S1",0.94,0.18
299.0773409,"C13H16O8",1.23,0.62
299.0785569,"C10H23O3N1S2P1",2.3,0.3
299.0894977,"C13H20O2N2S2",1.54,0.15
299.0926659,"C17H16O5",0.94,0.29
299.0960103,"C14H20O5S1",1.43,0.36
299.0964304,"C10H23O5N1S1P1",2.3,0.5
299.1137181,"C14H20O7",1.43,0.5
299.1140944,"C10H23O7N1P1",2.3,0.7
299.1251178,"C13H20O6N2",1.54,0.46
299.1322558,"C15H24O4S1",1.6,0.27
299.1478027,"C19H24O1S1",1.26,0.05
299.1501026,"C15H24O6",1.6,0.4
299.150628,"C16H28O1S2",1.75,0.06
299.1610137,"C14H24O5N2",1.71,0.36
299.1614779,"C14H24O5N2",1.71,0.36
299.18651,"C16H28O5",1.75,0.31
299.2018729,"C20H28O2",1.4,0.1
299.2229359,"C17H32O4",1.88,0.24
299.9930582,"C9H7O7N3S1",0.78,0.78
299.9933777,"C9H7O7N3S1",0.78,0.78
299.9943153,"C13H6O5N2P1",0.46,0.38
300.0450416,"C14H11O3N3S1",0.79,0.21
300.1021519,"C12H19O4N3S1",1.58,0.33
300.103002,"C20H15O2N1",0.75,0.1
300.1089109,"C13H19O7N1",1.46,0.54
300.9671409,"C10H8O7P2",0.8,0.7
300.9925463,"C13H6O5N2S1",0.46,0.38
300.9959785,"C10H10O5N2S2",1,0.5
301.0139485,"C18H6O5",0.33,0.28
301.0143918,"C18H6O5",0.33,0.28
301.0170574,"C7H14O7N2S2",2,1
301.0201949,"C11H10O10",0.91,0.91
301.0244678,"C9H18O5S3",2,0.56
301.0355249,"C15H10O7",0.67,0.47
301.0542448,"C16H14O4S1",0.88,0.25
301.056626,"C12H14O9",1.17,0.75
