"Mass","formula","HC","OC"
200.0675149,"C7H11O4N3",1.57,0.57
201.1131666,"C10H18O4",1.8,0.4
202.966299,"C7H8O1S3",1.14,0.14
203.0924415,"C9H16O5",1.78,0.56
203.1188797,"C12H16O1N2",1.33,0.08
205.0718801,"C8H14O6",1.75,0.75
205.9266782,"C5H4O3S2P1",0.8,0.6
206.9727872,"C8H3O4N1P1",0.38,0.5
208.9734666,"C9H6O2S2",0.67,0.22
211.0404372,"C9H11O3N1P1",1.22,0.33
211.9592229,"C6H3O2N3S2",0.5,0.33
211.962996,"C6H2O5N2P1",0.33,0.83
212.9320286,"C7H2O4S2",0.29,0.57
213.0766573,"C10H14O5",1.4,0.5
214.0003997,"C8H9O2N1S2",1.12,0.25
215.0133601,"C7H8O4N2S1",1.14,0.57
215.0138846,"C15H4O2",0.27,0.13
215.0197073,"C8H8O7",1,0.88
215.128816,"C11H20O4",1.82,0.36
215.1440656,"C15H20O1",1.33,0.07
217.0408803,"C14H6O1N2",0.43,0.07
217.0716457,"C9H14O6",1.56,0.67
217.1080889,"C10H18O5",1.8,0.5
218.0280014,"C11H9O2N1S1",0.82,0.18
218.0317098,"C8H13O2N1S2",1.62,0.25
218.997693,"C8H12O1S3",1.5,0.12
220.0043356,"C9H6O3N2P1",0.67,0.33
220.0142297,"C7H10O6P1",1.43,0.86
220.1190231,"C9H19O5N1",2.11,0.56
222.0155996,"C8H5O5N3",0.62,0.62
223.0245895,"C10H8O6",0.8,0.6
224.0752432,"C11H15O2N1S1",1.36,0.18
224.9610117,"C7H2O5N2S1",0.29,0.71
225.0040846,"C9H6O7",0.67,0.78
225.0414114,"C11H14O1S2",1.27,0.09
226.0323515,"C5H13O3N3S2",2.6,0.6
227.005443,"C6H12O5S2",2,0.83
227.0922824,"C11H16O5",1.45,0.45
227.1286888,"C12H20O4",1.67,0.33
227.2014612,"C14H28O2",2,0.14
227.2017177,"C14H28O2",2,0.14
227.2127189,"C13H28O1N2",2.15,0.08
227.982757,"C8H6O6P1",0.75,0.75
228.1177176,"C10H19O1N3S1",1.9,0.1
229.0871343,"C14H14O3",1,0.21
229.107938,"C11H18O5",1.64,0.45
229.1081712,"C11H18O5",1.64,0.45
229.1445284,"C12H22O4",1.83,0.33
229.9556533,"C6H4O4N2S1P1",0.67,0.67
230.1032606,"C10H17O5N1",1.7,0.5
230.1397153,"C11H21O4N1",1.91,0.36
231.0048189,"C10H4O5N2",0.4,0.5
231.0121236,"C12H8O3S1",0.67,0.25
231.0509406,"C9H12O7",1.33,0.78
231.0872251,"C10H16O6",1.6,0.6
231.0884273,"C11H20O1S2",1.82,0.09
231.1235833,"C11H20O5",1.82,0.45
231.1238233,"C11H20O5",1.82,0.45
232.0286775,"C8H11O5N1S1",1.38,0.62
232.0439108,"C12H11O2N1S1",0.92,0.17
232.9875667,"C6H6O6N2S1",1,1
232.9881612,"C10H5O4N1P1",0.5,0.4
233.0312856,"C9H14O3S2",1.56,0.33
233.04583,"C8H13O5N1P1",1.62,0.62
233.1182388,"C14H18O3",1.29,0.21
233.917976,"C6H5O1N1S4",0.83,0.17
234.059422,"C12H13O2N1S1",1.08,0.17
234.9884209,"C10H4O7",0.4,0.7
235.0190723,"C18H4O1",0.22,0.06
235.0831212,"C10H20O2S2",2,0.2
235.9450769,"C8H2O3N2S1P1",0.25,0.38
235.9517399,"C9H2O6P1",0.22,0.67
236.0674987,"C10H11O4N3",1.1,0.4
236.9684445,"C10H6O3S2",0.6,0.3
237.0403495,"C11H10O6",0.91,0.55
237.0415208,"C12H14O1S2",1.17,0.08
237.0614781,"C8H14O8",1.75,1
237.0913562,"C8H18O4N2S1",2.25,0.5
238.0028573,"C6H9O7N1S1",1.5,1.17
238.0080533,"C12H5O1N3S1",0.42,0.08
239.0195892,"C10H8O7",0.8,0.7
239.0561417,"C11H12O6",1.09,0.55
239.0595455,"C8H16O6S1",2,0.75
239.0672663,"C10H12O5N2",1.2,0.5
239.0923987,"C12H16O5",1.33,0.42
239.103738,"C11H16O4N2",1.45,0.36
239.1287513,"C13H20O4",1.54,0.31
240.0260562,"C8H7O6N3",0.88,0.75
240.9957935,"C5H10O5N2S2",2,1
241.0353041,"C10H10O7",1,0.7
241.0538925,"C11H14O4S1",1.27,0.36
241.0716499,"C11H14O6",1.27,0.55
241.107983,"C12H18O5",1.5,0.42
241.144403,"C13H22O4",1.69,0.31
241.2172291,"C15H30O2",2,0.13
242.1759726,"C13H25O3N1",1.92,0.23
242.1762218,"C13H25O3N1",1.92,0.23
242.9901766,"C8H8O3N2S2",1,0.38
243.0509376,"C10H12O7",1.2,0.7
243.0561688,"C16H8O1N2",0.5,0.06
243.0566144,"C16H8O1N2",0.5,0.06
243.0872864,"C11H16O6",1.45,0.55
243.0875612,"C11H16O6",1.45,0.55
243.0885007,"C12H20O1S2",1.67,0.08
243.1236866,"C12H20O5",1.67,0.42
243.1600835,"C13H24O4",1.85,0.31
243.1603772,"C13H24O4",1.85,0.31
244.0583782,"C9H15O1N3S2",1.67,0.11
244.0940792,"C9H15O5N3",1.67,0.56
244.1190467,"C11H19O5N1",1.73,0.45
244.9508899,"C6H2O7N2S1",0.33,1.17
245.0068002,"C16H6O1S1",0.38,0.06
245.0665604,"C10H14O7",1.4,0.7
245.0677006,"C11H18O2S2",1.64,0.18
245.0855241,"C11H18O4S1",1.64,0.36
245.102943,"C11H18O6",1.64,0.55
245.1040946,"C12H22O1S2",1.83,0.08
245.1393458,"C12H22O5",1.83,0.42
247.0459208,"C9H12O8",1.33,0.89
247.0728606,"C8H15O4N3P1",1.88,0.5
247.0824508,"C10H16O7",1.6,0.7
247.0912834,"C13H16O1N2S1",1.23,0.08
247.1185837,"C11H20O6",1.82,0.55
247.1197033,"C12H24O1S2",2,0.08
247.9264214,"C5H3O3N3S3",0.6,0.6
247.9549134,"C7H6O6S1P1",0.86,0.86
248.0385561,"C12H11O3N1S1",0.92,0.25
248.9539493,"C8H10O1S4",1.25,0.12
248.9613014,"C9H2O5N2S1",0.22,0.56
248.9616842,"C5H5O5N3S1P1",1,1
248.9645801,"C6H6O5N2S2",1,0.83
248.9675234,"C10H2O8",0.2,0.8
248.9678972,"C10H2O8",0.2,0.8
249.0414218,"C13H14O1S2",1.08,0.08
249.0767892,"C13H14O5",1.08,0.38
249.9636651,"C10H5O3N1S2",0.5,0.3
249.9642624,"C6H8O3N2S2P1",1.33,0.5
250.0290919,"C10H9O3N3S1",0.9,0.3
250.1447561,"C14H21O3N1",1.5,0.21
250.1452136,"C10H24O3N2P1",2.4,0.3
250.1562371,"C13H21O2N3",1.62,0.15
250.9655772,"C10H4O6S1",0.4,0.6
250.9662522,"C11H8O1S3",0.73,0.09
251.0196418,"C11H8O7",0.73,0.64
251.0560646,"C12H12O6",1,0.5
251.0924341,"C13H16O5",1.23,0.38
251.1136737,"C10H20O7",2,0.7
252.0262784,"C9H7O6N3",0.78,0.67
252.0876148,"C12H15O5N1",1.25,0.42
252.1241808,"C13H19O4N1",1.46,0.31
252.9929029,"C5H9O5N3S1P1",1.8,1
252.9957549,"C6H10O5N2S2",1.67,0.83
252.9989079,"C10H6O8",0.6,0.8
253.035373,"C11H10O7",0.91,0.64
253.0364916,"C12H14O2S2",1.17,0.17
253.0396666,"C9H18O2S3",2,0.22
253.0539836,"C12H14O4S1",1.17,0.33
253.0716216,"C12H14O6",1.17,0.5
253.0728016,"C13H18O1S2",1.38,0.08
253.0902818,"C13H18O3S1",1.38,0.23
253.1445375,"C14H22O4",1.57,0.29
253.2173816,"C16H30O2",1.88,0.12
254.0129887,"C10H9O5N1S1",0.9,0.5
254.0208701,"C12H5O4N3",0.42,0.33
254.0609284,"C18H9O1N1",0.5,0.06
255.0145643,"C10H8O8",0.8,0.8
255.0331448,"C11H12O5S1",1.09,0.45
255.0334103,"C11H12O5S1",1.09,0.45
255.0509394,"C11H12O7",1.09,0.64
255.0521372,"C12H16O2S2",1.33,0.17
255.0695798,"C12H16O4S1",1.33,0.33
255.0873099,"C12H16O6",1.33,0.5
255.0884411,"C13H20O1S2",1.54,0.08
255.1060068,"C13H20O3S1",1.54,0.23
255.1237072,"C13H20O5",1.54,0.38
255.1601406,"C14H24O4",1.71,0.29
255.2328658,"C16H32O2",2,0.12
255.2331331,"C16H32O2",2,0.12
255.9234062,"C5H7O3N1S4",1.4,0.6
255.9895624,"C13H7O1N1S2",0.54,0.08
256.01001,"C9H7O8N1",0.78,0.89
256.0111611,"C6H14O3N2S2P1",2.33,0.5
256.0360079,"C8H18O3S2P1",2.25,0.38
256.0650267,"C11H15O4N1S1",1.36,0.36
256.0765849,"C18H11O1N1",0.61,0.06
257.0302343,"C10H10O8",1,0.8
257.0489437,"C11H14O5S1",1.27,0.45
257.0666303,"C11H14O7",1.27,0.64
257.0678007,"C12H18O2S2",1.5,0.17
257.102962,"C12H18O6",1.5,0.5
257.1041596,"C13H22O1S2",1.69,0.08
257.1393928,"C13H22O5",1.69,0.38
257.1757881,"C14H26O4",1.86,0.29
258.171124,"C13H25O4N1",1.92,0.31
259.0459704,"C10H12O8",1.2,0.8
259.0822344,"C11H16O7",1.45,0.64
259.1186191,"C12H20O6",1.67,0.5
259.1198281,"C13H24O1S2",1.85,0.08
259.1550724,"C13H24O5",1.85,0.38
259.1913463,"C14H28O4",2,0.29
260.0135172,"C11H7O3N3S1",0.64,0.27
260.0387374,"C13H11O3N1S1",0.85,0.23
260.9796818,"C11H6O2N2S2",0.55,0.18
261.0227533,"C13H10O4S1",0.77,0.31
261.040274,"C13H10O6",0.77,0.46
261.0614939,"C10H14O8",1.4,0.8
261.0979428,"C11H18O7",1.64,0.64
261.1342626,"C12H22O6",1.83,0.5
261.9820143,"C7H8O5N2S1P1",1.14,0.71
261.9846825,"C8H9O5N1S2",1.12,0.62
262.0035038,"C12H8O5P1",0.67,0.42
262.9118583,"C6H3O5N1S2P1",0.5,0.83
263.0196864,"C12H8O7",0.67,0.58
263.0383266,"C13H12O4S1",0.92,0.31
263.0406437,"C9H12O9",1.33,1
263.056087,"C13H12O6",0.92,0.46
263.0571288,"C14H16O1S2",1.14,0.07
263.0925109,"C14H16O5",1.14,0.36
263.1135449,"C11H20O7",1.82,0.64
263.1321967,"C12H24O4S1",2,0.33
264.0236421,"C14H7O1N3S1",0.5,0.07
264.0239232,"C14H7O1N3S1",0.5,0.07
264.1604232,"C15H23O3N1",1.53,0.2
264.9989321,"C11H6O8",0.55,0.73
265.0353727,"C12H10O7",0.83,0.58
265.0365004,"C13H14O2S2",1.08,0.15
265.0463766,"C11H10O6N2",0.91,0.55
265.0538927,"C13H14O4S1",1.08,0.31
265.0717111,"C13H14O6",1.08,0.46
265.1081485,"C14H18O5",1.29,0.36
265.9920988,"C10H8O3N2S1P1",0.8,0.3
266.0393443,"C14H9O1N3S1",0.64,0.07
266.1245422,"C10H21O7N1",2.1,0.7
266.1511818,"C13H21O3N3",1.62,0.23
266.9639801,"C7H8O7S2",1.14,1
267.0145523,"C11H8O8",0.73,0.73
267.0148481,"C11H8O8",0.73,0.73
267.0158127,"C8H15O3N1S2P1",1.88,0.38
267.0509583,"C12H12O7",1,0.58
267.0697034,"C13H16O4S1",1.23,0.31
267.0700342,"C9H19O4N1S1P1",2.11,0.44
267.0873241,"C13H16O6",1.23,0.46
267.0885155,"C14H20O1S2",1.43,0.07
267.1059763,"C14H20O3S1",1.43,0.21
267.1237814,"C14H20O5",1.43,0.36
267.1425505,"C15H24O2S1",1.6,0.13
267.1601622,"C15H24O4",1.6,0.27
268.0766211,"C19H11O1N1",0.58,0.05
268.0826547,"C12H15O6N1",1.25,0.5
268.1554009,"C14H23O4N1",1.64,0.29
268.9907313,"C6H10O6N2S2",1.67,1
268.993857,"C10H6O9",0.6,0.9
269.030193,"C11H10O8",0.91,0.73
269.0314338,"C8H17O3N1S2P1",2.12,0.38
269.0489319,"C12H14O5S1",1.17,0.42
269.0492422,"C8H17O5N1S1P1",2.12,0.62
269.0640586,"C16H14O2S1",0.88,0.12
269.0666268,"C12H14O7",1.17,0.58
269.0852392,"C13H18O4S1",1.38,0.31
269.1029977,"C13H18O6",1.38,0.46
269.1216703,"C14H22O3S1",1.57,0.21
269.1393959,"C14H22O5",1.57,0.36
269.1758557,"C15H26O4",1.73,0.27
269.2122228,"C16H30O3",1.88,0.19
269.2485777,"C17H34O2",2,0.12
270.0189934,"C9H9O5N3S1",1,0.56
270.0923313,"C19H13O1N1",0.68,0.05
271.0063879,"C6H12O6N2S2",2,1
271.0093688,"C10H8O9",0.8,0.9
271.045884,"C11H12O8",1.09,0.73
271.0461588,"C11H12O8",1.09,0.73
271.0471319,"C8H19O3N1S2P1",2.38,0.38
271.0645958,"C12H16O5S1",1.33,0.42
271.0822632,"C12H16O7",1.33,0.58
271.0944349,"C12H20O1N2S2",1.67,0.08
271.0975785,"C16H16O4",1,0.25
271.1012056,"C13H20O4S1",1.54,0.31
271.1186508,"C13H20O6",1.54,0.46
271.1550506,"C14H24O5",1.71,0.36
271.1914357,"C15H28O4",1.87,0.27
271.2278375,"C16H32O3",2,0.19
272.0060145,"C6H14O4N2S2P1",2.33,0.67
272.1503993,"C13H23O5N1",1.77,0.38
272.1656637,"C17H23O2N1",1.35,0.12
272.18651,"C14H27O4N1",1.93,0.29
272.1869001,"C14H27O4N1",1.93,0.29
273.022888,"C14H10O4S1",0.71,0.29
273.0250512,"C10H10O9",1,0.9
273.0262691,"C11H14O4S2",1.27,0.36
273.0404249,"C14H10O6",0.71,0.43
273.0592007,"C15H14O3S1",0.93,0.2
273.0615224,"C11H14O8",1.27,0.73
273.0979291,"C12H18O7",1.5,0.58
273.1132282,"C16H18O4",1.12,0.25
273.1343106,"C13H22O6",1.69,0.46
273.170714,"C14H26O5",1.86,0.36
273.9959457,"C8H9O4N3S2",1.12,0.5
273.9964244,"C8H9O4N3S2",1.12,0.5
274.0932428,"C11H17O7N1",1.55,0.64
274.1660818,"C13H25O5N1",1.92,0.38
274.9772512,"C7H7O5N3S1P1",1,0.71
274.9778022,"C15H3O3N1P1",0.2,0.2
274.9810064,"C16H4O3S1",0.25,0.19
274.9980753,"C8H8O7N2S1",1,0.88
275.0196058,"C13H8O7",0.62,0.54
275.0382969,"C14H12O4S1",0.86,0.29
275.040828,"C10H12O9",1.2,0.9
275.0560574,"C14H12O6",0.86,0.43
275.0772497,"C11H16O8",1.45,0.73
275.0924547,"C15H16O5",1.07,0.33
275.1135884,"C12H20O7",1.67,0.58
275.150059,"C13H24O6",1.85,0.46
275.1651194,"C17H24O3",1.41,0.18
275.1685627,"C14H28O3S1",2,0.21
275.9908883,"C11H7O2N3S2",0.64,0.18
275.9929927,"C7H7O7N3S1",1,1
275.9934678,"C7H7O7N3S1",1,1
276.0473713,"C8H11O8N3",1.38,1
276.0988864,"C13H15O4N3",1.15,0.31
276.1089926,"C11H19O7N1",1.73,0.64
276.9237615,"C7H6O2N2S4",0.86,0.29
276.9989983,"C12H6O8",0.5,0.67
277.0353429,"C13H10O7",0.77,0.54
277.0356401,"C13H10O7",0.77,0.54
277.0565328,"C10H14O9",1.4,0.9
277.0575585,"C11H18O4S2",1.64,0.36
277.071781,"C14H14O6",1,0.43
277.0726809,"C15H18O1S2",1.2,0.07
277.0929205,"C11H18O8",1.64,0.73
277.1081224,"C15H18O5",1.2,0.33
277.1087,"C11H21O5N1P1",1.91,0.45
277.1292771,"C12H22O7",1.83,0.58
277.1445972,"C16H22O4",1.38,0.25
277.9081691,"C7H5O3N1S4",0.71,0.43
277.9876618,"C10H5O5N3S1",0.5,0.5
277.98883,"C14H4O3N2P1",0.29,0.21
278.0280756,"C16H9O2N1S1",0.56,0.12
278.0492358,"C13H13O4N1S1",1,0.31
278.0563668,"C10H16O7P1",1.6,0.7
278.1110452,"C12H24O3S1P1",2,0.25
278.1246094,"C11H21O7N1",1.91,0.64
279.0146272,"C12H8O8",0.67,0.67
279.015878,"C9H15O3N1S2P1",1.67,0.33
279.0261716,"C7H11O7N3P1",1.57,1
279.0301676,"C16H8O5",0.5,0.31
279.0333735,"C13H12O5S1",0.92,0.38
279.0445333,"C12H12O4N2S1",1,0.33
279.0510262,"C13H12O7",0.92,0.54
279.072152,"C10H16O9",1.6,0.9
